go,time,na,say,baby,see,make,one,love,know,take,ca,like,way,get,oh,yeah,let,want,come
941,525,333,579,495,504,459,475,1037,776,387,323,597,418,1019,467,289,356,390,592
1107,572,873,671,402,515,519,526,830,984,453,522,806,515,1235,518,474,437,530,533
1133,533,786,598,478,455,575,622,905,951,460,452,1048,391,1551,586,521,520,344,685
go,time,na,get,say,baby,see,make,one,know,let,take,like,love,never,oh,yeah,feel,want,come
3319,2265,2555,5664,2393,2712,1817,1997,1805,3678,1799,1890,2812,4753,1659,2825,2179,1607,2138,2756
4358,2411,4177,8000,2991,3003,2408,2998,2244,5037,2786,2309,4078,4575,2183,3679,2688,2326,2958,3321
4954,2330,5132,7309,2664,3508,2038,3306,2209,5672,3080,2650,5651,5523,2102,4144,3619,2273,2973,3132
go,know,ai,say,bitch,nigga,see,make,one,fuck,shit,like,back,na,cause,man,yeah,let,get,come
10217,14548,10113,9149,8351,20235,8408,9049,7712,9559,10073,23885,7946,8543,9353,7380,5674,6949,37235,8817
10564,13467,9915,7388,6650,14556,8733,8374,6215,7250,7924,23251,7605,7508,6125,6523,5736,6764,33692,7392
11175,15220,10403,8087,12763,18861,7420,8500,5662,11072,10201,22528,6292,6655,4458,5469,10530,5763,34041,6827
