"(1, '03 Greedo', '03 Purple Hearts', 'en')"
"(2, 'Drakeo the Ruler', '100', 'en')"
"(3, '03 Greedo', '100 100 100', 'en')"
"(4, '03 Greedo', '100 Bands', 'en')"
"(5, 'DJ Mustard & RJ', 'All 4s', 'en')"
"(6, 'Maxo Kream', 'ATW', 'en')"
"(7, '03 Greedo', 'Baby Sittin', 'en')"
"(8, '03 Greedo', 'Bacc 2 Jail', 'en')"
"(9, '03 Greedo', 'Bacc On My Feet', 'en')"
"(10, '03 Greedo', 'Bacc To Bacc', 'en')"
"(11, 'Bino Rideaux', 'Bacc Tracc', 'en')"
"(12, '03 Greedo', ""Ballin'"", 'en')"
"(13, 'Nef The Pharaoh & 03 Greedo', 'Ball Out', 'en')"
"(14, 'DestoDubb', 'Bank Teller', 'en')"
"(15, '03 Greedo', 'Basehead', 'en')"
"(16, '03 Greedo', 'Baytoven', 'en')"
"(17, '03 Greedo', 'Beat That Thang Down', 'en')"
"(18, 'Jay Fizzle', 'Big Grape', 'en')"
"(19, '03 Greedo', 'Blower', 'en')"
"(20, 'Nef The Pharaoh & 03 Greedo', 'Blow-Up Bed', 'en')"
"(21, '03 Greedo', 'Breaking News', 'en')"
"(22, 'Casey Veggies', 'Broke', 'en')"
"(23, '03 Greedo', 'Buckhead', 'en')"
"(24, '03 Greedo', 'California To Chicago', 'en')"
"(25, '03 Greedo', 'Chase', 'en')"
"(26, 'Nef The Pharaoh & 03 Greedo', 'Choosy', 'en')"
"(27, '03 Greedo', 'Closer', 'en')"
"(28, '03 Greedo', 'Conscience', 'en')"
"(29, '03 Greedo', 'Crimey', 'en')"
"(30, '03 Greedo', 'Cutlass', 'en')"
"(31, 'Freddie Gibbs', 'Death Row', 'en')"
"(32, '03 Greedo', 'Diamonds', 'en')"
"(33, '03 Greedo', 'Dibiase', 'en')"
"(34, '03 Greedo', 'Different Flavors', 'en')"
"(35, '03 Greedo', 'Drippin', 'en')"
"(36, '03 Greedo', 'Fall Off', 'en')"
"(37, 'Nef The Pharaoh & 03 Greedo', 'Feeling You', 'en')"
"(38, '03 Greedo', 'Finally', 'en')"
"(39, '03 Greedo', 'Floating', 'en')"
"(40, 'Bangladesh', '100', 'en')"
"(41, 'DJ Esco', '100it Racks', 'en')"
"(42, '2 Chainz', '100 Joints', 'en')"
"(43, 'Nelly', '100k', 'en')"
"(44, '2 Chainz', '10 Summaz', 'en')"
"(45, 'Playaz Circle', '#1 Trap Pick', 'en')"
"(46, '2 Chainz', '1 Yeezy Boot', 'en')"
"(47, 'TeeFlii', '24 Hours', 'en')"
"(48, 'Teefli 2Chainz', '24 Hours (Cover)', 'en')"
"(49, '2 Chainz', '2 Chainz Freestyle | LA Leakers Freestyle #017', 'en')"
"(50, '2 Chainz', '2 Chainz Sway in the Morning Freestyle', 'en')"
"(51, 'Pusha-T', '2 Good to be T.R.U Tour Dates', 'en')"
"(52, 'RiFF RAFF', '2 Heavy', 'de')"
"(53, 'Dreezy & 2 Chainz', '2nd To None', 'en')"
"(54, '2 Chainz', '2 of Everything', 'en')"
"(55, 'Boy Wonder', '2 Of Everything', 'en')"
"(56, 'Travis Scott', '3500', 'en')"
"(57, '2 Chainz', '36', 'en')"
"(58, '2 Chainz', '4 AM', 'en')"
"(59, 'K Camp', '5 Minutes', 'en')"
"(60, '2 Chainz', '7 minutes', 'en')"
"(61, 'Rick Ross', '911 (Remix)', 'en')"
"(62, 'Christina Aguilera', 'Accelerate', 'en')"
"(63, 'Ludacris', 'Act a Fool', 'en')"
"(64, '2 Chainz', 'Addicted To Rubberbands', 'en')"
"(65, '2 Chainz', 'Album On The Way', 'en')"
"(66, 'The Game', 'Ali Bomaye', 'en')"
"(67, 'Tareek', 'Ali Bomaye', 'en')"
"(68, 'Lil Jon', 'Alive', 'en')"
"(69, 'Kanye West', 'All Day (2 Chainz Version)', 'en')"
"(70, 'Trinidad James', 'All Gold Everything (Remix)', 'en')"
"(71, '2 Chainz', 'All Ice On Me (Disc 2 Intro)', 'en')"
"(72, '2 Chainz', 'All i Do is Me', 'en')"
"(73, 'Drake', 'All Me', 'en')"
"(74, 'Yungbrezzy', 'Alot of diss and dat', 'en')"
"(75, '2 Chainz', 'A Milli Billi Trilli', 'en')"
"(76, 'Young Deshawn', 'Am strappin’ for the Streets', 'en')"
"(77, 'Dame D.O.L.L.A.', 'ANOMALY', 'en')"
"(78, 'Lil Baby', 'Anyway', 'en')"
"(79, 'Rico Richie', 'Ape', 'en')"
"(80, 'Lil bozo', 'A peal', 'en')"
"(81, '2 Chainz', 'A-Rod', 'en')"
"(82, 'Disturbing tha Peace', 'A-Town Hatz', 'en')"
"(83, 'CyHi The Prynce', 'A-Town (Remix)', 'en')"
"(84, 'Shy Glizzy', 'Awwsome (Remix)', 'en')"
"(85, 'Bryan J', 'Back 2 Back', 'en')"
"(86, 'L.E.P Bogus Boys', 'Back 4 Da Summa', 'en')"
"(87, '2 Chainz', 'Back On The Bullshyt', 'en')"
"(88, 'Tyga', 'Bad Bitches (Remix)', 'en')"
"(89, '2 Chainz', 'Bailan', 'en')"
"(90, '03 Greedo', '03 Purple Hearts', 'en')"
"(91, 'Drakeo the Ruler', '100', 'en')"
"(92, '03 Greedo', '100 100 100', 'en')"
"(93, '03 Greedo', '100 Bands', 'en')"
"(94, 'DJ Mustard & RJ', 'All 4s', 'en')"
"(95, 'Maxo Kream', 'ATW', 'en')"
"(96, '03 Greedo', 'Baby Sittin', 'en')"
"(97, '03 Greedo', 'Bacc 2 Jail', 'en')"
"(98, '03 Greedo', 'Bacc On My Feet', 'en')"
"(99, '03 Greedo', 'Bacc To Bacc', 'en')"
"(100, 'Bino Rideaux', 'Bacc Tracc', 'en')"
"(101, '03 Greedo', ""Ballin'"", 'en')"
"(102, 'Nef The Pharaoh & 03 Greedo', 'Ball Out', 'en')"
"(103, 'DestoDubb', 'Bank Teller', 'en')"
"(104, '03 Greedo', 'Basehead', 'en')"
"(105, '03 Greedo', 'Baytoven', 'en')"
"(106, '03 Greedo', 'Beat That Thang Down', 'en')"
"(107, 'Jay Fizzle', 'Big Grape', 'en')"
"(108, '03 Greedo', 'Blower', 'en')"
"(109, 'Nef The Pharaoh & 03 Greedo', 'Blow-Up Bed', 'en')"
"(110, '03 Greedo', 'Breaking News', 'en')"
"(111, 'Casey Veggies', 'Broke', 'en')"
"(112, '03 Greedo', 'Buckhead', 'en')"
"(113, '03 Greedo', 'California To Chicago', 'en')"
"(114, '03 Greedo', 'Chase', 'en')"
"(115, 'Nef The Pharaoh & 03 Greedo', 'Choosy', 'en')"
"(116, '03 Greedo', 'Closer', 'en')"
"(117, '03 Greedo', 'Conscience', 'en')"
"(118, '03 Greedo', 'Crimey', 'en')"
"(119, '03 Greedo', 'Cutlass', 'en')"
"(120, 'Freddie Gibbs', 'Death Row', 'en')"
"(121, '03 Greedo', 'Diamonds', 'en')"
"(122, '03 Greedo', 'Dibiase', 'en')"
"(123, '03 Greedo', 'Different Flavors', 'en')"
"(124, '03 Greedo', 'Drippin', 'en')"
"(125, '03 Greedo', 'Fall Off', 'en')"
"(126, 'Nef The Pharaoh & 03 Greedo', 'Feeling You', 'en')"
"(127, '03 Greedo', 'Finally', 'en')"
"(128, '03 Greedo', 'Floating', 'en')"
"(129, 'Bangladesh', '100', 'en')"
"(130, 'DJ Esco', '100it Racks', 'en')"
"(131, '2 Chainz', '100 Joints', 'en')"
"(132, 'Nelly', '100k', 'en')"
"(133, '2 Chainz', '10 Summaz', 'en')"
"(134, 'Playaz Circle', '#1 Trap Pick', 'en')"
"(135, '2 Chainz', '1 Yeezy Boot', 'en')"
"(136, 'TeeFlii', '24 Hours', 'en')"
"(137, 'Teefli 2Chainz', '24 Hours (Cover)', 'en')"
"(138, '2 Chainz', '2 Chainz Freestyle | LA Leakers Freestyle #017', 'en')"
"(139, '2 Chainz', '2 Chainz Sway in the Morning Freestyle', 'en')"
"(140, 'Pusha-T', '2 Good to be T.R.U Tour Dates', 'en')"
"(141, 'RiFF RAFF', '2 Heavy', 'de')"
"(142, 'Dreezy & 2 Chainz', '2nd To None', 'en')"
"(143, '2 Chainz', '2 of Everything', 'en')"
"(144, 'Boy Wonder', '2 Of Everything', 'en')"
"(145, 'Travis Scott', '3500', 'en')"
"(146, '2 Chainz', '36', 'en')"
"(147, '2 Chainz', '4 AM', 'en')"
"(148, 'K Camp', '5 Minutes', 'en')"
"(149, '2 Chainz', '7 minutes', 'en')"
"(150, 'Rick Ross', '911 (Remix)', 'en')"
"(151, 'Christina Aguilera', 'Accelerate', 'en')"
"(152, 'Ludacris', 'Act a Fool', 'en')"
"(153, '2 Chainz', 'Addicted To Rubberbands', 'en')"
"(154, '2 Chainz', 'Album On The Way', 'en')"
"(155, 'The Game', 'Ali Bomaye', 'en')"
"(156, 'Tareek', 'Ali Bomaye', 'en')"
"(157, 'Lil Jon', 'Alive', 'en')"
"(158, 'Kanye West', 'All Day (2 Chainz Version)', 'en')"
"(159, 'Trinidad James', 'All Gold Everything (Remix)', 'en')"
"(160, '2 Chainz', 'All Ice On Me (Disc 2 Intro)', 'en')"
"(161, '2 Chainz', 'All i Do is Me', 'en')"
"(162, 'Drake', 'All Me', 'en')"
"(163, 'Yungbrezzy', 'Alot of diss and dat', 'en')"
"(164, '2 Chainz', 'A Milli Billi Trilli', 'en')"
"(165, 'Young Deshawn', 'Am strappin’ for the Streets', 'en')"
"(166, 'Dame D.O.L.L.A.', 'ANOMALY', 'en')"
"(167, 'Lil Baby', 'Anyway', 'en')"
"(168, 'Rico Richie', 'Ape', 'en')"
"(169, 'Lil bozo', 'A peal', 'en')"
"(170, '2 Chainz', 'A-Rod', 'en')"
"(171, 'Disturbing tha Peace', 'A-Town Hatz', 'en')"
"(172, 'CyHi The Prynce', 'A-Town (Remix)', 'en')"
"(173, 'Shy Glizzy', 'Awwsome (Remix)', 'en')"
"(174, 'Bryan J', 'Back 2 Back', 'en')"
"(175, 'L.E.P Bogus Boys', 'Back 4 Da Summa', 'en')"
"(176, '2 Chainz', 'Back On The Bullshyt', 'en')"
"(177, 'Tyga', 'Bad Bitches (Remix)', 'en')"
"(178, '2 Chainz', 'Bailan', 'en')"
"(179, '2 Pistols', 'All I Know', 'en')"
"(180, '2 Pistols', 'Eyes Closed', 'en')"
"(181, '2 Pistols', 'Greedy', 'en')"
"(182, '2 Pistols', 'Greedy (feat. Juicy J)', 'en')"
"(183, '2 Pistols', ""I Don't Care"", 'en')"
"(184, '2 Pistols', 'Know That', 'en')"
"(185, '2 Pistols', 'Lights Down Low', 'en')"
"(186, '2 Pistols', 'Lights Low', 'en')"
"(187, '2 Pistols', ""Lookin' Down on 'em"", 'en')"
"(188, '2 Pistols', 'My Niggas', 'en')"
"(189, '2 Pistols', 'She Got It', 'en')"
"(190, '2 Pistols', 'She Got It (Original Version)', 'en')"
"(191, '2 Pistols', 'Streetz', 'en')"
"(192, '2 Pistols', ""That's My Word"", 'en')"
"(193, 'Mally Mall', 'Toast', 'en')"
"(194, '2 Pistols', 'You Know Me', 'en')"
"(195, 'Sil-A', 'Выбор (Choice)', 'ru')"
"(196, '21 Savage', '100', 'en')"
"(197, 'Metro Boomin', '10 Freaky Girls', 'en')"
"(198, '21 Savage', '12 AM', 'en')"
"(199, '21 Savage', '1.5', 'en')"
"(200, 'Young Dolph', '150', 'en')"
"(201, '16KoinzBry', '16Koinz Theme Song', 'en')"
"(202, 'StarGate', '1Night', 'en')"
"(203, 'Skooly', '21 Guns', 'en')"
"(204, 'No Plug', '21 Savage (Intro)', 'en')"
